THEID,EMAIL,USERNAME,PHONENUMBER,PASS,ADDRESSID
1,kiki@gmail.com,kiki,77029876015,kiki1234,1
2,karakat@gmail.com,karakat,77476671865,karakat1234,1
3,chingiz@gmail.com,chingiz,77070884818,chingiz1234,1
4,bebra@gmail.com,bebra,77079625664,bebra1234,1
5,kamshat@gmail.com,kamshat,77638561167,kamshat1234,1
6,meraki@gmail.com,meraki,77008431133,meraki1234,1
7,madina@gmail.com,madina,77600155489,madina1234,1
8,ayaulym@gmail.com,ayaulym,77473880461,ayaulym1234,1
9,aiqyn@gmail.com,aiqyn,77069818370,aiqyn1234,1
10,bobik@gmail.com,bobik,77024572925,bobik1234,1
11,zhizhik@gmail.com,zhizhik,77059776298,zhizhik1234,1
12,killua@gmail.com,killua,77474530961,killua1234,1
13,emailuser@gmail.com,emailuser,77852997548,emailuser1234,1
14,teacheruser@gmail.com,teacheruser,77778732500,teacheruser1234,1
15,merakiki@gmail.com,merakiki,77024388735,merakiki1234,1
16,210103432@gmail.com,sdudentuser,77472449942,sdudentuser1234,19
17,anastasiya@gmail.com,anastasiya,77753855180,anastasiya1234,19
18,sergey@gmail.com,sergey,77475659616,sergey1234,20
19,belgibayeva@gmail.com,belgibayeva,77479214667,belgibayeva1234,1
20,fullproject@gmail.com,fullproject,77854646383,full1234,1
21,iphoneuser@gmail.com,iphoneuser,77052638278,iphoneuser1234,1
22,mestogdenabelorusgotovilosnapadeniye@gmail.com,mariya,77476872890,mariya1234,1
23,lukpanova@gmail.com,sabina,77856385643,lukpanova1234,1
24,richy@gmail.com,richy,77859138365,richy1234,1
25,kotangens@gmail.com,kotangens,77473464171,kotangens1234,8
26,milashka@gmail.com,milashka,77472354376,milashka1234,9
27,bulochka@gmail.com,bulochka,77087890973,bulochka1234,9
28,myshka@gmail.com,myshka,77478336646,myshka1234,8
29,megatop@gmail.com,megatop,77472771420,megatop1234,10
30,gigachad@gmail.com,gigachad,77000296208,gigachad1234,11
31,gipersuper@gmail.com,gipersuper,77763125554,gipersuper1234,11
32,bubakiki@gmail.com,bubakiki,77014295629,bubakiki1234,12
33,kikibuba@gmail.com,kikibuba,77770949853,kikibuba1234,10
34,sduadmin@gmail.com,sduadmin,77762902702,sduadmin1234,12
35,lalala@gmail.com,lalala,77089124125,lalala1234,12
36,hochuhachapuri@gmail.com,hochuhachapuri,77477358654,hochuhachapuri1234,13
37,pizzalover@gmail.com,pizzalover,77612883804,pizzalover1234,13
38,philadelphia@gmail.com,philadelphia,77026976785,philadelphia1234,13
39,cinnamonrolls@gmail.com,cinnamonroll,77084148078,cinnamonroll1234,13
40,cupcake@gmail.com,cupcake,77058416269,cupcake1234,13
